,track_duration(ms),track_number,track_title,album_title,release_date
130,273333,5,Knuckle Up - Matt U Remix,Wu-Tang Meets the Indie Culture Vol. 2: Enter the Dubstep,2009-11-10
131,210857,6,Biochemical Equation - Datsik & Excision Remix,Wu-Tang Meets the Indie Culture Vol. 2: Enter the Dubstep,2009-11-10
132,284505,7,Keep Hustlin - Trillbass Remix,Wu-Tang Meets the Indie Culture Vol. 2: Enter the Dubstep,2009-11-10
133,243356,8,Now or Never - Parson Remix,Wu-Tang Meets the Indie Culture Vol. 2: Enter the Dubstep,2009-11-10
134,281571,9,Cinema - Chimpo Remix,Wu-Tang Meets the Indie Culture Vol. 2: Enter the Dubstep,2009-11-10
135,257142,10,Coke - Dz Remix,Wu-Tang Meets the Indie Culture Vol. 2: Enter the Dubstep,2009-11-10
136,276001,11,Iconoclasts - Syndaesia and Aks Remix,Wu-Tang Meets the Indie Culture Vol. 2: Enter the Dubstep,2009-11-10
137,288000,12,Handle the Heights - Stenchman Remix,Wu-Tang Meets the Indie Culture Vol. 2: Enter the Dubstep,2009-11-10
138,240000,13,Do It Big - Baobinga & I'd Remix,Wu-Tang Meets the Indie Culture Vol. 2: Enter the Dubstep,2009-11-10
139,260571,14,Wu-Tang - Dz Remix,Wu-Tang Meets the Indie Culture Vol. 2: Enter the Dubstep,2009-11-10
140,274166,15,Let's Get It - Evol Intent Remix,Wu-Tang Meets the Indie Culture Vol. 2: Enter the Dubstep,2009-11-10
141,277152,16,Lyrical Swords - Pawn Remix,Wu-Tang Meets the Indie Culture Vol. 2: Enter the Dubstep,2009-11-10
142,255482,17,Think Differently - Hellfire Machina Remix,Wu-Tang Meets the Indie Culture Vol. 2: Enter the Dubstep,2009-11-10
143,310285,18,Pencil - Soroka Remixes,Wu-Tang Meets the Indie Culture Vol. 2: Enter the Dubstep,2009-11-10
144,198868,19,Alphabets - Dakimh Remix,Wu-Tang Meets the Indie Culture Vol. 2: Enter the Dubstep,2009-11-10
145,209840,1,Lyrical Swords - Instrumental,Wu-Tang Meets The Indie Culture Instrumentals,2009-04-14
146,293826,2,Slow Blues - Instrumental,Wu-Tang Meets The Indie Culture Instrumentals,2009-04-14
147,260853,3,Still Grimey - Instrumental,Wu-Tang Meets The Indie Culture Instrumentals,2009-04-14
148,278893,4,Think Differently - Instrumental,Wu-Tang Meets The Indie Culture Instrumentals,2009-04-14
149,243466,5,Biochemical Equation - Instrumental,Wu-Tang Meets The Indie Culture Instrumentals,2009-04-14
150,82293,6,O.D.B. Tribute - Instrumental,Wu-Tang Meets The Indie Culture Instrumentals,2009-04-14
151,219453,7,Fragments - Instrumental,Wu-Tang Meets The Indie Culture Instrumentals,2009-04-14
152,203466,8,Streets Corners - Instrumental,Wu-Tang Meets The Indie Culture Instrumentals,2009-04-14
153,226133,9,Listen - Instrumental,Wu-Tang Meets The Indie Culture Instrumentals,2009-04-14
154,277826,10,Verses - Instrumental,Wu-Tang Meets The Indie Culture Instrumentals,2009-04-14
155,151960,11,Preservation - Instrumental,Wu-Tang Meets The Indie Culture Instrumentals,2009-04-14
156,142266,12,Cars on the Interstate - Instrumental,Wu-Tang Meets The Indie Culture Instrumentals,2009-04-14
157,238333,13,Give It Up - Instrumental,Wu-Tang Meets The Indie Culture Instrumentals,2009-04-14
158,199400,14,Black Dawn - Instrumental,Wu-Tang Meets The Indie Culture Instrumentals,2009-04-14
159,143081,1,Wu-Tang Clan Ain't Nuthing Ta F' Wit - Live,Live At Montreux 2007,2008-09-22
160,159880,2,Da Mystery Of Chessboxin - Live,Live At Montreux 2007,2008-09-22
161,180866,3,Duel Of The Iron Mic - Live,Live At Montreux 2007,2008-09-22
162,74466,4,Fish - Live,Live At Montreux 2007,2008-09-22
163,68182,5,Grid Iron Rap - Live,Live At Montreux 2007,2008-09-22
164,129841,6,Bring The Pain - Live,Live At Montreux 2007,2008-09-22
165,178415,7,It's Yourz - Live,Live At Montreux 2007,2008-09-22
166,127971,8,Liquid Swords - Live,Live At Montreux 2007,2008-09-22
167,125132,9,Ice Cream - Live,Live At Montreux 2007,2008-09-22
168,59361,10,Uzi - Live,Live At Montreux 2007,2008-09-22
169,123193,11,One Blood Under W - Live,Live At Montreux 2007,2008-09-22
170,65689,12,Do U Really Thang Thang - Live,Live At Montreux 2007,2008-09-22
171,127268,13,What The Blood Clot - Live,Live At Montreux 2007,2008-09-22
172,85436,14,Careful Click Click - Live,Live At Montreux 2007,2008-09-22
173,119240,15,Protect Ya Neck - Live,Live At Montreux 2007,2008-09-22
174,168529,16,Bring Da Ruckus - Live,Live At Montreux 2007,2008-09-22
175,128067,17,Tearz - Live,Live At Montreux 2007,2008-09-22
176,193772,18,C.R.E.A.M. - Live,Live At Montreux 2007,2008-09-22
177,161425,19,Method Man - Live,Live At Montreux 2007,2008-09-22
178,148068,20,Reunited - Live,Live At Montreux 2007,2008-09-22
179,96266,21,For Heaven's Sake - Live,Live At Montreux 2007,2008-09-22
180,78480,22,Wu Tang: 7th Chamber - Live,Live At Montreux 2007,2008-09-22
181,186386,23,Shadowboxin' - Live,Live At Montreux 2007,2008-09-22
182,163000,24,Shimmy Shimmy Ya - Live,Live At Montreux 2007,2008-09-22
183,117083,25,Brooklyn Zoo - Live,Live At Montreux 2007,2008-09-22
184,76234,26,Got Your Money - Live,Live At Montreux 2007,2008-09-22
185,212681,27,Cherchez LaGhost - Live,Live At Montreux 2007,2008-09-22
186,147748,28,La Rhumba / Black Widow Pt.2 - Live,Live At Montreux 2007,2008-09-22
187,245529,29,Da Rockwilder - Live,Live At Montreux 2007,2008-09-22
188,385708,30,Triumph - Live,Live At Montreux 2007,2008-09-22
189,206460,31,Impossible - Live,Live At Montreux 2007,2008-09-22
190,154742,32,Gravel Pit - Live,Live At Montreux 2007,2008-09-22
191,72333,1,Introduction:,Wu-Tang Meets The Indie Culture,2005-10-18
192,205893,2,Lyrical Swords,Wu-Tang Meets The Indie Culture,2005-10-18
193,289666,3,Slow Blues,Wu-Tang Meets The Indie Culture,2005-10-18
194,255573,4,Still Grimey,Wu-Tang Meets The Indie Culture,2005-10-18
195,32933,5,Skit,Wu-Tang Meets The Indie Culture,2005-10-18
196,273066,6,Think Differently,Wu-Tang Meets The Indie Culture,2005-10-18
197,38893,7,Infomercial #1,Wu-Tang Meets The Indie Culture,2005-10-18
198,236200,8,Biochemical Equation,Wu-Tang Meets The Indie Culture,2005-10-18
199,111133,9,O.D.B. Tribute,Wu-Tang Meets The Indie Culture,2005-10-18
200,211533,10,Fragments,Wu-Tang Meets The Indie Culture,2005-10-18
201,27306,11,Intermission,Wu-Tang Meets The Indie Culture,2005-10-18
202,197560,12,Street Corners,Wu-Tang Meets The Indie Culture,2005-10-18
203,220933,13,Listen,Wu-Tang Meets The Indie Culture,2005-10-18
204,45440,14,Infomercial #2,Wu-Tang Meets The Indie Culture,2005-10-18
205,273533,15,Verses,Wu-Tang Meets The Indie Culture,2005-10-18
206,146533,16,Preservation,Wu-Tang Meets The Indie Culture,2005-10-18
207,137133,17,Cars on the Interstateâ€¦,Wu-Tang Meets The Indie Culture,2005-10-18
208,226293,18,Give It Up,Wu-Tang Meets The Indie Culture,2005-10-18
209,203333,19,Black Dawn,Wu-Tang Meets The Indie Culture,2005-10-18
210,209133,1,In the Hood,Wu-Tang Iron Flag,2001-12-18
211,232826,2,Rules,Wu-Tang Iron Flag,2001-12-18
212,254840,3,Chrome Wheels,Wu-Tang Iron Flag,2001-12-18
213,291426,4,Soul Power (Black Jungle),Wu-Tang Iron Flag,2001-12-18
214,318640,5,Uzi (Pinky Ring),Wu-Tang Iron Flag,2001-12-18
215,253560,6,One of These Days,Wu-Tang Iron Flag,2001-12-18
216,254400,7,Ya'll Been Warned,Wu-Tang Iron Flag,2001-12-18
217,306866,8,Babies,Wu-Tang Iron Flag,2001-12-18
218,210106,9,Radioactive (Four Assassins),Wu-Tang Iron Flag,2001-12-18
219,242933,10,Back In the Game,Wu-Tang Iron Flag,2001-12-18
220,207200,11,Iron Flag,Wu-Tang Iron Flag,2001-12-18
221,261093,12,Dashing (Reasons),Wu-Tang Iron Flag,2001-12-18
222,250826,1,In the Hood,Wu-Tang Iron Flag,2001
223,233640,2,Rules,Wu-Tang Iron Flag,2001
224,254826,3,Chrome Wheels,Wu-Tang Iron Flag,2001
225,292600,4,Soul Power (Black Jungle),Wu-Tang Iron Flag,2001
226,320200,5,Uzi (Pinky Ring),Wu-Tang Iron Flag,2001
227,253573,6,One of These Days,Wu-Tang Iron Flag,2001
228,255493,7,Ya'll Been Warned,Wu-Tang Iron Flag,2001
229,308040,8,Babies,Wu-Tang Iron Flag,2001
230,210066,9,Radioactive (Four Assassins),Wu-Tang Iron Flag,2001
231,274133,10,Back In the Game,Wu-Tang Iron Flag,2001
232,193400,11,Iron Flag,Wu-Tang Iron Flag,2001
233,192800,12,Dashing (Reasons),Wu-Tang Iron Flag,2001
234,266600,1,Intro (Shaolin Finger Jab) / Chamber Music - Explicit Album Version with Medley Segments,The W,2000-11-20
235,296426,2,"Careful (Click, Click)",The W,2000-11-20
236,217333,3,Hollow Bones,The W,2000-11-20
237,233973,4,Redbull,The W,2000-11-20
238,251426,5,One Blood Under W,The W,2000-11-20
239,332506,6,Conditioner (featuring Snoop Dogg),The W,2000-11-20
240,238560,7,Protect Ya Neck (The Jump Off),The W,2000-11-20
241,269773,8,Let My Niggas Live (featuring Nas),The W,2000-11-20
242,215226,9,I Can't Go to Sleep,The W,2000-11-20
243,322040,10,Do You Really (Thang Thang),The W,2000-11-20
244,157493,11,The Monument,The W,2000-11-20
245,291266,12,Gravel Pit,The W,2000-11-20
246,231040,13,Jah World (featuring Junior Reid) - Explicit Album Version,The W,2000-11-20
247,267333,1,Intro (Shaolin Finger Jab) / Chamber Music - Clean Album Version with Medley Segments,The W,2000-11-20
248,262293,2,"Careful (Click, Click)",The W,2000-11-20
249,214266,3,Hollow Bones,The W,2000-11-20
250,233866,4,Redbull,The W,2000-11-20
251,251466,5,One Blood Under W,The W,2000-11-20
252,331333,6,Conditioner (featuring Snoop Dogg),The W,2000-11-20
253,237706,7,Protect Ya Neck (The Jump Off),The W,2000-11-20
254,271266,8,Let My Niggas Live (featuring Nas),The W,2000-11-20
255,215200,9,I Can't Go to Sleep,The W,2000-11-20
256,278466,10,Do You Really (Thang Thang),The W,2000-11-20
257,158066,11,The Monument,The W,2000-11-20
258,290666,12,Gravel Pit - LP Version (Clean),The W,2000-11-20
259,230826,13,Jah World (featuring Junior Reid) - Clean Album Version,The W,2000-11-20
260,406426,1,Wu-Revolution,Wu-Tang Forever (Explicit),1997-06-03
261,321733,2,Reunited,Wu-Tang Forever (Explicit),1997-06-03
262,253706,3,For Heavens Sake,Wu-Tang Forever (Explicit),1997-06-03
263,181600,4,Cash Still Rules / Scary Hours (Still Don't Nothing Move but the Money),Wu-Tang Forever (Explicit),1997-06-03
264,189266,5,Visionz,Wu-Tang Forever (Explicit),1997-06-03
265,158133,6,As High as Wu-Tang Get,Wu-Tang Forever (Explicit),1997-06-03
266,289733,7,Severe Punishment,Wu-Tang Forever (Explicit),1997-06-03
267,185960,8,Older Gods,Wu-Tang Forever (Explicit),1997-06-03
268,175373,9,Maria,Wu-Tang Forever (Explicit),1997-06-03
269,295200,10,A Better Tomorrow,Wu-Tang Forever (Explicit),1997-06-03
270,256893,11,It's Yourz,Wu-Tang Forever (Explicit),1997-06-03
271,122800,1,Intro,Wu-Tang Forever (Explicit),1997-06-03
272,338186,2,Triumph,Wu-Tang Forever (Explicit),1997-06-03
273,268933,3,Impossible,Wu-Tang Forever (Explicit),1997-06-03
274,289426,4,Little Ghetto Boys,Wu-Tang Forever (Explicit),1997-06-03
275,260200,5,Deadly Melody,Wu-Tang Forever (Explicit),1997-06-03
276,245706,6,The City,Wu-Tang Forever (Explicit),1997-06-03
277,197906,7,The Projects,Wu-Tang Forever (Explicit),1997-06-03
278,312133,8,Bells of War,Wu-Tang Forever (Explicit),1997-06-03
279,158693,9,The M.G.M.,Wu-Tang Forever (Explicit),1997-06-03
280,214826,10,Dog Sh*t,Wu-Tang Forever (Explicit),1997-06-03
281,342360,11,Duck Seazon,Wu-Tang Forever (Explicit),1997-06-03
282,292226,12,Hellz Wind Staff,Wu-Tang Forever (Explicit),1997-06-03
283,326266,13,Heaterz,Wu-Tang Forever (Explicit),1997-06-03
284,229933,14,Black Shampoo,Wu-Tang Forever (Explicit),1997-06-03
285,279600,15,Second Coming,Wu-Tang Forever (Explicit),1997-06-03
286,157293,16,The Closing,Wu-Tang Forever (Explicit),1997-06-03
287,251466,1,Bring Da Ruckus,Enter The Wu-Tang (36 Chambers) [Expanded Edition],1993-11-09
288,177066,2,Shame On a Nigga,Enter The Wu-Tang (36 Chambers) [Expanded Edition],1993-11-09
289,273320,3,Clan In Da Front,Enter The Wu-Tang (36 Chambers) [Expanded Edition],1993-11-09
290,366306,4,Wu-Tang: 7th Chamber,Enter The Wu-Tang (36 Chambers) [Expanded Edition],1993-11-09
291,413000,5,Can It Be All So Simple / Intermission,Enter The Wu-Tang (36 Chambers) [Expanded Edition],1993-11-09
292,287840,6,Da Mystery of Chessboxin',Enter The Wu-Tang (36 Chambers) [Expanded Edition],1993-11-09
293,216133,7,Wu-Tang Clan Aint Nuthing ta F' Wit,Enter The Wu-Tang (36 Chambers) [Expanded Edition],1993-11-09
294,252186,8,C.R.E.A.M.,Enter The Wu-Tang (36 Chambers) [Expanded Edition],1993-11-09
295,350560,9,Method Man,Enter The Wu-Tang (36 Chambers) [Expanded Edition],1993-11-09
296,291066,10,Protect Ya Neck,Enter The Wu-Tang (36 Chambers) [Expanded Edition],1993-11-09
297,257746,11,Tearz,Enter The Wu-Tang (36 Chambers) [Expanded Edition],1993-11-09
298,370733,12,Wu-Tang: 7th Chamber - Part II - Conclusion,Enter The Wu-Tang (36 Chambers) [Expanded Edition],1993-11-09
299,278853,13,Protect Ya Neck - Shao Lin Version,Enter The Wu-Tang (36 Chambers) [Expanded Edition],1993-11-09
300,310466,14,Method Man - Home Grown Version,Enter The Wu-Tang (36 Chambers) [Expanded Edition],1993-11-09
301,158426,15,C.R.E.A.M. (Cash Rules Everything Around Me) - A Cappella,Enter The Wu-Tang (36 Chambers) [Expanded Edition],1993-11-09
