,track_duration(ms),track_number,track_title,album_title,release_date
0,91080,1,Wu-Tang The Saga Continues Intro (feat. RZA),The Saga Continues,10/13/17
1,202666,2,Lesson Learn'd (feat. Inspectah Deck and Redman),The Saga Continues,10/13/17
2,222310,3,Fast and Furious (feat. Hue Hef and Raekwon),The Saga Continues,10/13/17
3,80606,4,Famous Fighters (Skit),The Saga Continues,10/13/17
4,233846,5,If Time Is Money (Fly Navigation) [feat. Method Man],The Saga Continues,10/13/17
5,249604,6,"Frozen (feat. Method Man, Killa Priest and Chris Rivers)",The Saga Continues,10/13/17
6,45250,7,Berto and the Fiend (Skit) [feat. Ghostface Killa],The Saga Continues,10/13/17
7,298999,8,"Pearl Harbor (feat. Ghostface Killah, Method Man, RZA and Sean Price)",The Saga Continues,10/13/17
8,264392,9,People Say (feat. Redman),The Saga Continues,10/13/17
9,66937,10,Family (Skit),The Saga Continues,10/13/17
10,240000,11,Why Why Why (feat. RZA and Swnkah),The Saga Continues,10/13/17
11,264986,12,"G'd up (feat. Method Man, R-Mean and Mzee Jones)",The Saga Continues,10/13/17
12,235498,13,If What You Say Is True (feat. Streetlife),The Saga Continues,10/13/17
13,58041,14,Saga (Skit) [feat. RZA,The Saga Continues,10/13/17
14,92307,15,Hood Go Bang! (feat. Redman and Method Man),The Saga Continues,10/13/17
15,284000,16,"My Only One (feat. Ghostface Killah, RZA, Cappadonna, and Steven Latorre)",The Saga Continues,10/13/17
16,125190,17,Message,The Saga Continues,10/13/17
17,45352,18,The Saga Continues Outro (feat. RZA),The Saga Continues,10/13/17
18,91080,1,Wu-Tang The Saga Continues Intro (feat. RZA),The Saga Continues,10/13/17
19,202666,2,Lesson Learn'd (feat. Inspectah Deck and Redman),The Saga Continues,10/13/17
20,222310,3,Fast and Furious (feat. Hue Hef and Raekwon),The Saga Continues,10/13/17
21,80606,4,Famous Fighters (Skit),The Saga Continues,10/13/17
22,233846,5,If Time Is Money (Fly Navigation) [feat. Method Man],The Saga Continues,10/13/17
23,249604,6,"Frozen (feat. Method Man, Killa Priest and Chris Rivers)",The Saga Continues,10/13/17
24,45250,7,Berto and the Fiend (Skit) [feat. Ghostface Killa],The Saga Continues,10/13/17
25,298999,8,"Pearl Harbor (feat. Ghostface Killah, Method Man, RZA and Sean Price)",The Saga Continues,10/13/17
26,264392,9,People Say (feat. Redman),The Saga Continues,10/13/17
27,66937,10,Family (Skit),The Saga Continues,10/13/17
28,240000,11,Why Why Why (feat. RZA and Swnkah),The Saga Continues,10/13/17
29,264986,12,"G'd up (feat. Method Man, R-Mean and Mzee Jones)",The Saga Continues,10/13/17
30,235498,13,If What You Say Is True (feat. Streetlife),The Saga Continues,10/13/17
31,58041,14,Saga (Skit) [feat. RZA,The Saga Continues,10/13/17
32,92307,15,Hood Go Bang! (feat. Redman and Method Man),The Saga Continues,10/13/17
33,284000,16,"My Only One (feat. Ghostface Killah, RZA, Cappadonna, and Steven Latorre)",The Saga Continues,10/13/17
34,125190,17,Message,The Saga Continues,10/13/17
35,45267,18,The Saga Continues Outro (feat. RZA),The Saga Continues,10/13/17
36,325254,1,Ruckus In B Minor,A Better Tomorrow,12/1/14
37,229462,2,Felt,A Better Tomorrow,12/1/14
38,266263,3,40th Street Black / We Will Fight,A Better Tomorrow,12/1/14
39,342866,4,Mistaken Identity,A Better Tomorrow,12/1/14
40,247528,5,Hold The Heater,A Better Tomorrow,12/1/14
41,146046,6,Crushed Egos,A Better Tomorrow,12/1/14
42,265633,7,Keep Watch,A Better Tomorrow,12/1/14
43,302969,8,Miracle,A Better Tomorrow,12/1/14
44,313206,9,Preacher's Daughter,A Better Tomorrow,12/1/14
45,238694,10,Pioneer The Frontier,A Better Tomorrow,12/1/14
46,251476,11,Necklace,A Better Tomorrow,12/1/14
47,268496,12,Ron O'Neal,A Better Tomorrow,12/1/14
48,264440,13,A Better Tomorrow,A Better Tomorrow,12/1/14
49,322200,14,Never Let Go,A Better Tomorrow,12/1/14
50,213626,15,Wu-Tang Reunion,A Better Tomorrow,12/1/14
51,324733,1,Ruckus In B Minor,A Better Tomorrow,11/28/14
52,230933,2,Felt,A Better Tomorrow,11/28/14
53,266253,3,40th Street Black / We Will Fight,A Better Tomorrow,11/28/14
54,344280,4,Mistaken Identity,A Better Tomorrow,11/28/14
55,247613,5,Hold The Heater,A Better Tomorrow,11/28/14
56,146026,6,Crushed Egos,A Better Tomorrow,11/28/14
57,265373,7,Keep Watch,A Better Tomorrow,11/28/14
58,303266,8,Miracle,A Better Tomorrow,11/28/14
59,313186,9,Preacher's Daughter,A Better Tomorrow,11/28/14
60,238693,10,Pioneer The Frontier,A Better Tomorrow,11/28/14
61,251440,11,Necklace,A Better Tomorrow,11/28/14
62,268466,12,Ron O'Neal,A Better Tomorrow,11/28/14
63,264440,13,A Better Tomorrow,A Better Tomorrow,11/28/14
64,322200,14,Never Let Go,A Better Tomorrow,11/28/14
65,213626,15,Wu-Tang Reunion,A Better Tomorrow,11/28/14
66,60000,1,Campfire,8 Diagrams,10/11/07
67,215400,2,Take it Back,8 Diagrams,10/11/07
68,247200,3,Get Them Out Ya Way Pa,8 Diagrams,10/11/07
69,250800,4,Rushing Elephants,8 Diagrams,10/11/07
70,180000,5,Unpredictable,8 Diagrams,10/11/07
71,246600,6,The Heart Gently Weeps (featuring Erykah Badu),8 Diagrams,10/11/07
72,322200,7,Wolves (featuring George Clinton),8 Diagrams,10/11/07
73,248400,8,Gun Will Go,8 Diagrams,10/11/07
74,249600,9,Sunlight,8 Diagrams,10/11/07
75,193200,10,Stick Me for My Riches,8 Diagrams,10/11/07
76,364800,11,Starter,8 Diagrams,10/11/07
77,247800,12,Windmill,8 Diagrams,10/11/07
78,259200,13,Weak Spot,8 Diagrams,10/11/07
79,214800,14,Life Changes,8 Diagrams,10/11/07
210,432600,1,In the Hood,Wu-Tang Iron Flag,12/18/01
211,232826,2,Rules,Wu-Tang Iron Flag,12/18/01
212,254840,3,Chrome Wheels,Wu-Tang Iron Flag,12/18/01
213,291426,4,Soul Power (Black Jungle),Wu-Tang Iron Flag,12/18/01
214,318640,5,Uzi (Pinky Ring),Wu-Tang Iron Flag,12/18/01
215,253560,6,One of These Days,Wu-Tang Iron Flag,12/18/01
216,254400,7,Ya'll Been Warned,Wu-Tang Iron Flag,12/18/01
217,306866,8,Babies,Wu-Tang Iron Flag,12/18/01
218,210106,9,Radioactive (Four Assassins),Wu-Tang Iron Flag,12/18/01
219,242933,10,Back In the Game,Wu-Tang Iron Flag,12/18/01
220,207200,11,Iron Flag,Wu-Tang Iron Flag,12/18/01
221,261093,12,Dashing (Reasons),Wu-Tang Iron Flag,12/18/01
222,250826,1,In the Hood,Wu-Tang Iron Flag,2001
223,233640,2,Rules,Wu-Tang Iron Flag,2001
224,254826,3,Chrome Wheels,Wu-Tang Iron Flag,2001
225,292600,4,Soul Power (Black Jungle),Wu-Tang Iron Flag,2001
226,320200,5,Uzi (Pinky Ring),Wu-Tang Iron Flag,2001
227,253573,6,One of These Days,Wu-Tang Iron Flag,2001
228,255493,7,Ya'll Been Warned,Wu-Tang Iron Flag,2001
229,308040,8,Babies,Wu-Tang Iron Flag,2001
230,210066,9,Radioactive (Four Assassins),Wu-Tang Iron Flag,2001
231,274133,10,Back In the Game,Wu-Tang Iron Flag,2001
232,193400,11,Iron Flag,Wu-Tang Iron Flag,2001
233,192800,12,Dashing (Reasons),Wu-Tang Iron Flag,2001
234,266600,1,Intro (Shaolin Finger Jab) / Chamber Music - Explicit Album Version with Medley Segments,The W,11/20/00
235,296426,2,"Careful (Click, Click)",The W,11/20/00
236,217333,3,Hollow Bones,The W,11/20/00
237,233973,4,Redbull,The W,11/20/00
238,251426,5,One Blood Under W,The W,11/20/00
239,332506,6,Conditioner (featuring Snoop Dogg),The W,11/20/00
240,238560,7,Protect Ya Neck (The Jump Off),The W,11/20/00
241,269773,8,Let My Niggas Live (featuring Nas),The W,11/20/00
242,215226,9,I Can't Go to Sleep,The W,11/20/00
243,322040,10,Do You Really (Thang Thang),The W,11/20/00
244,157493,11,The Monument,The W,11/20/00
245,291266,12,Gravel Pit,The W,11/20/00
246,231040,13,Jah World (featuring Junior Reid) - Explicit Album Version,The W,11/20/00
247,267333,1,Intro (Shaolin Finger Jab) / Chamber Music - Clean Album Version with Medley Segments,The W,11/20/00
248,262293,2,"Careful (Click, Click)",The W,11/20/00
249,214266,3,Hollow Bones,The W,11/20/00
250,233866,4,Redbull,The W,11/20/00
251,251466,5,One Blood Under W,The W,11/20/00
252,331333,6,Conditioner (featuring Snoop Dogg),The W,11/20/00
253,237706,7,Protect Ya Neck (The Jump Off),The W,11/20/00
254,271266,8,Let My Niggas Live (featuring Nas),The W,11/20/00
255,215200,9,I Can't Go to Sleep,The W,11/20/00
256,278466,10,Do You Really (Thang Thang),The W,11/20/00
257,158066,11,The Monument,The W,11/20/00
258,290666,12,Gravel Pit - LP Version (Clean),The W,11/20/00
259,230826,13,Jah World (featuring Junior Reid) - Clean Album Version,The W,11/20/00
260,406426,1,Wu-Revolution,Wu-Tang Forever (Explicit),6/3/97
261,321733,2,Reunited,Wu-Tang Forever (Explicit),6/3/97
262,253706,3,For Heavens Sake,Wu-Tang Forever (Explicit),6/3/97
263,181600,4,Cash Still Rules / Scary Hours (Still Don't Nothing Move but the Money),Wu-Tang Forever (Explicit),6/3/97
264,189266,5,Visionz,Wu-Tang Forever (Explicit),6/3/97
265,158133,6,As High as Wu-Tang Get,Wu-Tang Forever (Explicit),6/3/97
266,289733,7,Severe Punishment,Wu-Tang Forever (Explicit),6/3/97
267,185960,8,Older Gods,Wu-Tang Forever (Explicit),6/3/97
268,175373,9,Maria,Wu-Tang Forever (Explicit),6/3/97
269,295200,10,A Better Tomorrow,Wu-Tang Forever (Explicit),6/3/97
270,256893,11,It's Yourz,Wu-Tang Forever (Explicit),6/3/97
271,122800,1,Intro,Wu-Tang Forever (Explicit),6/3/97
272,338186,2,Triumph,Wu-Tang Forever (Explicit),6/3/97
273,268933,3,Impossible,Wu-Tang Forever (Explicit),6/3/97
274,289426,4,Little Ghetto Boys,Wu-Tang Forever (Explicit),6/3/97
275,260200,5,Deadly Melody,Wu-Tang Forever (Explicit),6/3/97
276,245706,6,The City,Wu-Tang Forever (Explicit),6/3/97
277,197906,7,The Projects,Wu-Tang Forever (Explicit),6/3/97
278,312133,8,Bells of War,Wu-Tang Forever (Explicit),6/3/97
279,158693,9,The M.G.M.,Wu-Tang Forever (Explicit),6/3/97
280,214826,10,Dog Sh*t,Wu-Tang Forever (Explicit),6/3/97
281,342360,11,Duck Seazon,Wu-Tang Forever (Explicit),6/3/97
282,292226,12,Hellz Wind Staff,Wu-Tang Forever (Explicit),6/3/97
283,326266,13,Heaterz,Wu-Tang Forever (Explicit),6/3/97
284,229933,14,Black Shampoo,Wu-Tang Forever (Explicit),6/3/97
285,279600,15,Second Coming,Wu-Tang Forever (Explicit),6/3/97
286,157293,16,The Closing,Wu-Tang Forever (Explicit),6/3/97
287,251466,1,Bring Da Ruckus,Enter The Wu-Tang (36 Chambers) [Expanded Edition],11/9/93
288,177066,2,Shame On a Nigga,Enter The Wu-Tang (36 Chambers) [Expanded Edition],11/9/93
289,273320,3,Clan In Da Front,Enter The Wu-Tang (36 Chambers) [Expanded Edition],11/9/93
290,366306,4,Wu-Tang: 7th Chamber,Enter The Wu-Tang (36 Chambers) [Expanded Edition],11/9/93
291,413000,5,Can It Be All So Simple / Intermission,Enter The Wu-Tang (36 Chambers) [Expanded Edition],11/9/93
292,287840,6,Da Mystery of Chessboxin',Enter The Wu-Tang (36 Chambers) [Expanded Edition],11/9/93
293,216133,7,Wu-Tang Clan Aint Nuthing ta F' Wit,Enter The Wu-Tang (36 Chambers) [Expanded Edition],11/9/93
294,252186,8,C.R.E.A.M.,Enter The Wu-Tang (36 Chambers) [Expanded Edition],11/9/93
295,350560,9,Method Man,Enter The Wu-Tang (36 Chambers) [Expanded Edition],11/9/93
296,291066,10,Protect Ya Neck,Enter The Wu-Tang (36 Chambers) [Expanded Edition],11/9/93
297,257746,11,Tearz,Enter The Wu-Tang (36 Chambers) [Expanded Edition],11/9/93
298,370733,12,Wu-Tang: 7th Chamber - Part II - Conclusion,Enter The Wu-Tang (36 Chambers) [Expanded Edition],11/9/93
299,278853,13,Protect Ya Neck - Shao Lin Version,Enter The Wu-Tang (36 Chambers) [Expanded Edition],11/9/93
300,310466,14,Method Man - Home Grown Version,Enter The Wu-Tang (36 Chambers) [Expanded Edition],11/9/93
301,158426,15,C.R.E.A.M. (Cash Rules Everything Around Me) - A Cappella,Enter The Wu-Tang (36 Chambers) [Expanded Edition],11/9/93